Título,Rating,Sinopse,Link
Dhurandhar,"8,3","Ajit Doval, o melhor espião da Índia, se infiltra no território inimigo, arriscando tudo para coletar informações e evitar uma grande crise, consolidando seu legado como o ""James Bond da Índia"".",https://imdb.com/pt/title/tt33014583/
Casamento Sangrento,"6,8",A noite de núpcias de uma namorada toma um rumo sinistro quando seus novos sogros a obrigam a participar de um jogo aterrorizante.,https://imdb.com/pt/title/tt7798634/
"Se Eu Tivesse Pernas, Eu Te Chutaria","6,6","Com sua vida literalmente desmoronando ao seu redor, Linda tenta lidar com a doença misteriosa de sua filha, seu marido ausente, uma pessoa desaparecida e um relacionamento cada vez mais hostil com seu terapeuta.",https://imdb.com/pt/title/tt18382850/
Boca de Fumo,"5,4","Um agente da DEA e seu parceiro perseguem um grupo de ladrões: seus próprios adolescentes rebeldes, que começaram a roubar um cartel perigoso, usando as táticas e informações ultrassecretas de seus pais.",https://imdb.com/pt/title/tt10799690/
Dupla Perigosa,"6,4","Dois meios-irmãos que não se falavam há muito tempo se reencontram após a morte misteriosa do pai deles. Ao buscarem a verdade, desvendam segredos de uma conspiração que pode destruir a família.",https://imdb.com/pt/title/tt33046197/
O Sobrevivente,"6,4","Um homem se junta a um game show no qual os competidores, que podem ir a qualquer lugar do mundo, são caçados por ""caçadores"" empregados para matá-los.",https://imdb.com/pt/title/tt14107334/
Vivo ou Morto: Um Mistério Knives Out,"7,3",Benoit Blanc retorna para resolver seu caso mais perigoso até agora.,https://imdb.com/pt/title/tt14364480/
Subedaar,"6,2",O homem que antes lutou pela nação agora deve lutar contra seus inimigos internos para proteger sua casa e sua família.,https://imdb.com/pt/title/tt31852278/
Uma Segunda Chance,N/A,"Após deixar a prisão, Kenna busca se reaproximar da filha. Todos se opõem, exceto o dono de um bar que tem ligações com a menina. Para reconquistar sua vida, ela precisa confrontar seus erros anteriores.",https://imdb.com/pt/title/tt33714084/
Foi Apenas um Acidente,"7,5",Um pequeno incidente provoca uma reação em cadeia de problemas cada vez mais graves.,https://imdb.com/pt/title/tt36491653/
Pânico,"7,4","Um ano após o assassinato de sua mãe, uma adolescente é aterrorizada por um novo assassino que a escolheu como alvo e usa filmes de terror como parte de seu jogo mortal.",https://imdb.com/pt/title/tt0117571/
O Frio da Morte,"6,1","Uma pescadora viúva que se vê presa em uma tempestade de neve em Minnesota interrompe o sequestro de uma adolescente, ela logo percebe que é a única esperança da jovem vítima.",https://imdb.com/pt/title/tt7574556/
Família de Aluguel,"7,6","Um ator em Tóquio é contratado como um garoto americano simbólico para uma locadora familiar, que o leva a uma jornada inesperada interpretando papéis na vida de outras pessoas",https://imdb.com/pt/title/tt14142060/
Os Estranhos: Capítulo Final,"4,1","Os sobreviventes enfrentam novas ameaças de estranhos mascarados. Segredos vêm à tona, colocando suas vidas em risco à medida que a linha entre a realidade e o perigo se confunde em sua luta pela sobrevivência.",https://imdb.com/pt/title/tt28682323/
Eternidade,"6,9","Após a morte, todos têm uma semana para escolher onde passarão a eternidade. Para Joan, Larry e Luke, é realmente uma questão de saber com quem passar a eternidade.",https://imdb.com/pt/title/tt24950660/
Avatar: Fogo e Cinzas,"7,4","Depois de uma perda devastadora, a família de Jake e Neytiri enfrenta uma tribo Na'vi hostil, o Povo das Cinzas, liderada pelo implacável Varang, à medida que os conflitos em Pandora se intensificam e surgem novos dilemas morais.",https://imdb.com/pt/title/tt1757678/
O Poderoso Chefão,"9,2",O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,https://imdb.com/pt/title/tt0068646/
Interestelar,"8,7","Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.",https://imdb.com/pt/title/tt0816692/
O Bom Bandido,"7,0","A história do ladrão de telhados, Jeffrey Manchester, e seu tempo como fugitivo fugindo da captura.",https://imdb.com/pt/title/tt4627382/
Mortal Kombat 2,N/A,"Os campeões favoritos dos fãs - agora acompanhados pelo próprio Johnny Cage - se enfrentam na batalha final para derrotar o domínio sombrio de Shao Kahn, que ameaça a própria existência do Earthrealm e de seus defensores.",https://imdb.com/pt/title/tt17490712/
O Dublê,"6,8","Após um acidente que quase acabou com sua carreira, um dublê precisa descobrir o paradeiro de um astro de cinema desaparecido, desmascarar uma conspiração e tentar reconquistar o amor de sua vida enquanto ainda faz seu trabalho diário.",https://imdb.com/pt/title/tt1684562/
Amor a Toda Prova,"7,4","A vida de um homem casado muda dramaticamente quando sua esposa pede o divórcio. Enquanto isto acontece, ele procura redescobrir sua virilidade com a ajuda de um novo amigo Jacob.",https://imdb.com/pt/title/tt1570728/
